,,Dimension of Athelete,,,
Athelete Personal Data,,,,,
ID,Name,Sex,Age,Height,Weight
306,Nabil Abdul Tahlak,M,39,NA,NA
307,Fahmi Ahmed Abdul Wahab Al-Tahri,M,23,NA,NA
308,Mohamed Abdul Wahab Al-Salah,M,21,NA,NA
309,Qazi Abdul Waheed,M,30,NA,NA
310,Patmawati Abdul Wahid,F,32,158,58
311,Haidar Abdul-Amir Hassan,M,21,185,80
312,Haidar Abdul-Razzaq Hassan,M,22,175,75
313,"Lawal Kolawole ""Kola"" Abdulai",M,21,172,66
314,"Rukayatu ""Ruky"" Abdulai",F,22,180,59
315,Mona Ahmad Abdulaziz Hassanein,F,26,166,61
316,Zagalav Abdulbekovich Abdulbekov,M,26,160,62
317,Roosevelt M. Abdulgafur,M,24,181,73
318,Ahmed Abdulkareem Ahmed,M,20,NA,NA
319,Gamal Ahmed Abdulla,M,28,NA,NA
320,Mohamed Sayed Abdulla,M,18,NA,NA
321,Ahmad Hassan Abdullah,M,27,164,55
322,Ahmed Ghanim Abdullah,M,20,184,79
323,Aquil Hashim Abdullah (Shumate-),M,31,187,83
324,Atallah Abdullah,M,32,NA,88
325,Magdy Ahmed Abdullah,M,25,NA,NA
326,Mohamed Abdullah,M,NA,176,66
327,Mohamed Samy Abdullah,M,NA,165,65
328,Mohamed Abdullah,M,NA,180,76
329,Osama Abdullah,M,21,NA,NA
330,Tewfik Abdullah,M,23,NA,NA
331,Wan Azlan Abdullah,M,21,188,77
332,Zarinah Abdullah,F,21,NA,NA
333,Abdel Wahab Abdullah Salih,M,NA,190,75
334,Abubakar Sadiq Abdullahi,M,28,NA,NA
335,Abdulqdir Abdullayev,M,28,188,91
336,Arif Yadulla Abdullayev,M,27,164,60
337,Mukhammad Kadyr Abdullayev,M,22,169,63
338,Muminzhon Abdullayev,M,22,190,130
339,Namiq Yadulla Abdullayev,M,25,167,55
340,Laye Abdullayeva,F,21,170,47
341,lqar Abdulov,M,27,175,74
342,Abdullah Abdulrahman Zeyab,M,16,177,NA
343,Abir Abdulrahman Khalil Mahmoud Khalil,F,16,162,72
344,Amer Abdulrahman Abdallah Hussain Al-Hammadi,M,23,168,68
345,Omar Abdulrahman Ahmad Al-Raaqi Al-Amoudi,M,20,168,62
346,Shaza Yahia Nazih Abdulrahman El-Sayed,F,15,170,59
347,Najim Abdulrazak Al-Enazy,M,18,150,60
348,Zeyad Abdulrazak Al-Khudhur Al-Enazy,M,19,181,66
349,Waheed Abdulridha Waheed Karaawi,M,33,178,74
350,Mohamed Abdultwab Ibrahim Abd El-Baki,M,21,162,69
351,Julius Shareef Abdur-Rahim,M,23,202,104
352,Sherzod Abdurahmonov,M,22,178,73
353,Rasul Abduraim,M,19,183,74
354,Bekzod Makhamadzhonovich Abdurakhmonov,M,26,172,74
355,Mukhamadmurod Abdurakhmonov,M,29,192,117
356,Adlan Aliyevich Abdurashidov,M,26,172,60
357,Yusup Abdusalomov,M,26,170,84
358,Fawzi Abdussalam,M,NA,179,76
359,Andrey Khakimovich Abduvaliyev,M,26,190,125
360,Dzhamolidin Mirgarifanovich Abduzhaparov,M,24,174,72
361,Aybek Abdymomunov,M,18,162,54
362,Isao Ko Abe,M,24,177,75
363,Kazumi Abe,M,24,178,67
364,Kazuo Abe,M,25,166,69
365,Kinya Abe,M,23,168,68
366,Kiyoshi Abe,M,25,167,62
367,Masashi Abe,M,22,175,64
368,Naoki Abe,M,23,173,68
369,Osamu Abe,M,22,NA,NA
370,Shigeaki Abe,M,24,178,70
371,Shinnosuke Abe,M,21,179,91
372,"Sanshiro ""Sonny"" Abe",M,26,166,57
373,Tadashi Abe,M,21,190,80
374,Tadatoshi Abe,M,28,170,60
375,Wakako Abe,F,18,168,60
376,Yoshiyuki Abe,M,31,175,67
377,Yuki Abe,M,22,177,75
378,Angelik Abebame,F,NA,NA,NA
379,Addis Abebe,M,21,160,50
380,Biruk Abebe,M,22,173,62
381,Benaissa Abed,M,23,170,51
382,Soha Abed Elaal,F,35,NA,NA
383,Mojtaba Abedini Shormasti,M,27,180,83
384,Thophile Abega Mbida,M,30,NA,NA
385,"Max ""Xam"" Abegglen",M,22,NA,NA
386,Alexandre Abeid,M,22,194,92
387,Sonia Abejn Esteban,F,19,169,48
388,Abel Carlos da Silva Braga,M,19,190,73
389,Adolf Gaston Abel,M,45,NA,NA
390,Brooke Abel,F,20,163,52
391,Clarence John Abel,M,23,185,102
392,George Gordon Abel,M,35,NA,NA
393,Gnther Abel,M,19,183,80
394,Irene Abel,F,19,160,48
395,Jennifer Abel,F,16,160,62
396,Katja Abel,F,25,165,55
397,Mara Abel Diguez,F,25,163,46
398,Roger Abel,M,24,NA,NA
399,Egil Sten Abel,M,20,NA,NA
400,Yaritza Abel Rojas,F,28,NA,62
401,Abelardo Fernndez Antua,M,22,NA,NA
402,Arthur Abele,M,22,184,85
403,Ruth Abeles,F,18,153,48
404,"Louis Grenville ""Lou"" Abell",M,15,NA,NA
405,Jos Javier Abella Fanjul,M,22,176,66
406,Ramn Neptuno Abella Caside,M,26,NA,NA
407,Ral Daniel Abella,M,26,NA,NA
408,Alfonso Abelln Lpez,M,37,174,63
409,Juan Luis Abelln Pallahi,M,19,NA,NA
410,Edwige Marie Abna Fouda,F,23,173,61
411,Gezahgne Abera,M,22,166,58
412,Tesfaye Abera Dibaba,M,24,192,68
413,Hugo Ral Aberastegui,M,27,186,84
414,Arvid berg,M,26,NA,NA
415,Bjrn Olof Conny berg,M,23,181,76
416,Nils Georg berg,M,19,181,78
417,Sara Helena berg,F,17,190,73
418,Karl Konrad berg,M,22,NA,NA
419,Majken berg,F,30,170,60
420,"Olof Viktor ""Olle"" berg",M,27,181,78
421,Mohamed Aberhoune,M,23,187,75
422,"Julianne ""Anne"" Abernathy",F,34,165,75
423,Michael Brent Abernathy,M,22,182,84
424,Moira Abernethy (-Ford),F,17,NA,NA
425,Salim Abes,M,25,NA,NA
426,Edme Abetel (-Barr),F,29,NA,NA
427,Pasqualino Abeti,M,24,173,66
428,Elvan Abeylegesse,F,21,159,40
429,Ruwani Abeymanne,F,30,160,53
430,Matthew Duncan Abeysinghe,M,20,180,74
431,Narek Abgaryan,M,24,166,52
432,Koutoua Francis Abia,M,26,180,80
433,Pablo Abin Vicen,M,23,177,68
434,David Abibssira,M,21,179,63
435,Silke Abicht,F,19,156,46
436,Haithem Abid,M,22,179,72
437,Younis Abid Sadkhan,M,18,NA,NA
438,Jaiye Abidoye,M,30,NA,NA
439,Sagat Abikeyeva,F,27,160,78
440,Mitsuhiro Abiko,M,19,169,62
441,Tomomi Abiko,F,24,173,53
442,"Catherine ""Kate"" Abilla Awino",F,27,162,56
443,Ismail Abilov (-Nizamolu),M,25,172,82
444,Camille Anne Franoise Abily,F,27,168,60
445,Endurance Abinuwa,F,24,159,54
446,Bode Abiodun,M,35,170,68
447,Firmin Abissi,M,28,159,54
448,Sarah Abitbol,F,22,150,43
449,Inga Eduardovna Abitova,F,26,164,58
450,Ceyhun Abiyev,M,29,163,48
451,Diana Monteiro Abla,F,21,175,75
452,Enver Nazymovych Ablaiev,M,22,169,68
453,Leslie Ablett,M,24,NA,NA
454,"Edgar Allen ""Ed"" Ablowich",M,19,182,68
455,Denis Mikhaylovich Ablyazin,M,19,161,62
456,Karin Abma,F,24,174,62
457,Thorine Christelle Aboa Mbeza,F,23,182,78
458,Felix Ahmed Aboagye,M,20,176,70
459,Bukola Dammy Abogunloko,F,17,170,53
460,Viktor Andreyevich Aboimov,M,22,190,78
461,Mohamed Aboker,M,26,175,61
462,Ilze bola,F,19,169,60
463,Agnese boltia,F,17,166,60
464,Abdul Razzak Aboobakur,M,25,168,59
465,"Matthew ""Matt"" Abood",M,30,197,92
466,Piroska Abos Gvorgyzakab,F,25,NA,NA
467,Jean-Pierre Abossolo-Ze,M,27,NA,NA
468,Abdelhalim Muhammad Abou,M,27,210,88
469,Tarek Abou Al Dahab,M,28,170,64
470,Bachir Hani Abou Assi,M,24,175,74
471,Ashraf Abou El-Hassan,M,25,186,86
472,Galal El-Din Abdel Meguid Abou El-Kheir,M,24,NA,NA
473,Magdy Abou El-Magd,M,27,188,85
474,Essameldin Abou El-Nein,M,29,205,102
475,Abdel Khlik Abou El-Yazi,M,26,NA,NA
476,Mohamed Moustafa Abou Elea,M,20,168,54
477,Mahmoud Abou Elelaa,M,30,181,76
478,Mohammed Tawfiq Abou Habaga,M,27,NA,NA
479,Zaid Abou Hamed,M,30,182,79
480,Youssef Kamel Mohamed Abou Ouf,M,24,NA,NA
481,Gaber Mooti Abou Zeid,M,22,187,82
482,Taher Abou Zeid Sayid Amer,M,22,NA,NA
483,Ahmed Farid Abou-Shadi,M,38,NA,NA
484,Abdel Fattah Abou-Shanab,M,24,NA,NA
485,Sadoon Mohamed Aboub,M,21,170,48
486,Zakaria Aboub,M,20,171,65
487,Inni Aboubacar,M,NA,NA,NA
488,Ibrahim Mohamedin Aboubaker,M,21,190,65
489,Ahmed Ghmin Aboud,M,22,170,51
490,Fathi Khalifa Aboud,M,23,175,75
491,Kamel Aboud,M,22,178,67
492,Marwan Suhail Aboud,M,NA,NA,NA
493,Rabah Aboud,M,31,180,64
494,Mamdouh Taha Al-Husseini Abouebaid,M,28,183,85
495,Alaaeldin Ahmad El-Sayyid Abouelkassem,M,21,188,87
496,Haysam Farouk Abouelw,M,21,NA,NA
497,Waguih Rauf Aboul Seoud,M,22,NA,NA
498,El-Sayed Aboumedan,M,26,178,81
499,Dany Abounaoum,M,22,NA,NA
500,Sdonoud Janvier Abouta,M,23,NA,NA
501,Mohamed Mohamed Mohamed Aboutrika,M,33,182,77
502,Ahmad Shah Abouwi,M,NA,NA,NA
503,Adeola Aboyade-Cole,M,22,193,78
504,Cheryl Abplanalp,F,24,174,68
505,"Alexander ""Alex"" Abraham (Steglitz)",M,25,186,84
506,Andrei Abraham,M,19,NA,NA
507,Attila brahm,M,21,192,88
508,Bernhard Abraham,M,NA,NA,NA
509,Gary Abraham,M,17,175,64
510,Melita Isidora Abraham Schssler,F,19,170,62
511,Tadesse Abraham,M,33,178,61
512,Shiny Kurisingal Abraham-Wilson,F,19,167,53
513,Mariola Teresa Abrahamczyk (-Fronckowiak),F,21,180,70
514,Ara Abrahamian,M,25,191,84
515,Stphan Abrahamian Gonzalez,M,22,NA,NA
516,Clyde Abrahams,M,29,178,68
517,Glen Abrahams Martnez,M,22,179,72
518,Guy A. Abrahams,M,23,173,65
519,Harold Maurice Abrahams,M,20,183,75
520,Sidney Solomon Abrahams,M,21,NA,NA
521,Isak Abrahamsen,M,21,NA,NA
522,Knut Leo Abrahamsen,M,25,NA,NA
523,Trond Sevg Abrahamsen,M,19,183,87
524,"Donald Robert Abrahamson, Jr.",M,26,162,67
525,Richard Neal Abrahamson,M,24,190,88
526,Kurt Christer Abrahamsson (-Abris),M,24,187,77
527,Erik Adolf Efraim Abrahamsson,M,22,172,61
528,Karl Gran Abrahamsson,M,28,180,72
529,Karl Gustaf Emanuel Abrahamsson,M,31,NA,NA
530,Ulf Thommy Abrahamsson,M,24,185,81
531,"Fletcher Abram, Jr.",M,21,193,87
532,Iason Abramashvili,M,17,176,82
533,Yelena Vasilyevna Abramchuk (Kopets-),F,28,182,95
534,Oleksandr Volodymyrovych Abramenko,M,17,180,82
535,Yevgeny Sergeyevich Abramenko,M,22,181,80
536,Lahcen Abrami,M,22,NA,NA
537,Ek'aterina Abramia,F,16,167,43
538,Jernej Abrami,M,31,175,70
539,Levan Abramishvili,M,23,181,84
540,Andrey Vasilyevich Abramov,M,24,180,100
541,Andrey Viktorovich Abramov,M,24,176,70
542,Nikolay Kuzmich Abramov,M,30,164,59
543,Pavel Sergeyevich Abramov,M,25,198,89
544,Sergey Mikhaylovich Abramov,M,34,180,94
545,Valery Aleksandrovich Abramov,M,23,173,61
546,Inna Vladimirovna Abramova,F,21,172,63
547,Nelli Mikhaylovna Abramova,F,24,171,60
548,Yekaterina Konstantinovna Abramova,F,23,167,65
549,Alen Abramovi,M,29,180,72
550,Dmitry Vladimirovich Abramovich,M,27,182,96
551,Aliyah Abrams,F,19,163,53
552,Colin Winston Abrams,M,32,180,70
553,John Charles Abrams,M,22,183,NA
554,Benik Abramyan,M,31,186,115
555,Antnio da Cunha Meneses Martins Abrantes,M,20,176,68
556,Arnaldo Lus Isaas Abrantes,M,21,183,72
557,Arnaldo Joaquim Castro Abrantes,M,26,174,68
558,David Abrard,M,19,187,81
559,Tsvetelina Abrasheva,F,16,NA,NA
560,Amir Abrashi,M,22,172,70
561,Thomas Abratis,M,26,184,73
562,Pawe Abratkiewicz,M,21,183,84
563,Diogo Ferreira Tribolet de Abreu,M,22,183,73
